2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 112
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 113
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 114
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 115
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 116
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 117
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 118
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 119
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 120
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 121
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 122
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 123
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 124
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 125
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 126
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 127
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 128
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 129
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 130
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 131
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 132
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 133
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 134
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 135
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 136
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 137
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 138
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 139
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 140
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 141
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 142
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 143
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 144
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 145
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 146
2023-10-10 11:38:07 UTC | INFO  | rust_cli_example | src/main.rs:14 - To test rolling file configurations we print this message in a loop. This is loop nr. 147
